Pno,Qual,InnocentUntilProvenGuilty
282,Without any evidence of being caught with the goods it will be quite hard to be fined,No
283,We have no information with which to assess his guilt or innocence ,No
284,because when susspects come to this judge it is highly suspect!,No
285,"Court is an impartial decision,part deflection without the identified evidence in the light.",No
286,"At this stage, it's hard to determine whether he is guilty or not. This is because he only been accused and no evidence has been stated.",No
287,Judge bail decision is not the final decision that will be made by the jury,No
288,"There has been no evidence yet, so it could go either way.",No
289,"Since he almost always guesses, this is likely to be right this time, but there is no certainty either. Hence 50 percent certainty.",No
290,"Due to the lack of specific information about the case, I judge that the probability will be of 50%.

This only represents that the information provided so far is not enough to determine if he is to be found guilty or innocent.",No
291,I don't know if there is enough evidence so X will be  convicted so there is a 50-50 chance.,No
292,I put 50% because there is no evidence stated yet. He could be guilty or innocent.,No
293,So far the evidence against person X has not been stated,No
294,I give it a 50-50 chance since I haven't heard any evidence yet. It could go either way. ,No
296,"I have been presented with no evidence supporting either part - accusation or defense, so I haven't got enough information to evaluate the suspect's probability of conviction.",No
297,The judge seems to have a bias toward burglars but that should'nt affect the jugement. ,No
298,"Since there are no shown evidence so far, it is a clear 50/50 if he's guilty or not. Him being detained until his trial doesn't necessarily means he's guilty nor ""in the clear"", since the judge will always detain suspects for burglary.",No
299,There's 1 chance out of 2 that he will be guilty so far,No
300,I could not guess at the moment as judge armstrong always detains people,No
301,"To my understanding, detaining the suspect before trial doesn't mean they are any more or less likely to be found guilty. Tt is the trial which will determine this, using evidence.",No
302,I can't really tell if X is really guilty for burglary. My guess is about 50% because of the short story.,No
303,"The judge considers this crime a serious crime that is spreading in his own city, so he believes he will continue to prosecute in a decisive and hard way to eradicate this scourge. ",No
304,There court have decided that the case should be heard so there must be qualifying evidence to be contested in court.,No
305,"From the one side I believe that if he wants to do a burglary then he will do this because a criminal rarely change his behavior.From the other side I believe that he will do ""the good guy"" until his trial to give a good example. ",No
306,Impossible to say with the information given.,No
307,No evidence has yet been presented against the accused or evidence that he is guilty,No
308,"As a juror, I would have to remain unbiased until hearing the facts. At this point in time, I only know that someone has been accused. I haven't heard any evidence to sway me towards X's guilt or innocence at this time. The fact that the judge always detains those accused of burglary has no bearing on X's guilt or innocence.",No
309,credo che sia solo per meta' colpevole fino a prova contraria,No
310,"I don't have enough data to know, so i give it 50/50 because i assume there are evidences since the case arrived to court.",No
311,Until now there is no evidence of anything. So him being guilty is as probable as being inocent.,No
312,I have no information so its 50/50,No
313,50/50 prediction is due to the fact I haven't yet heard any evidence to prove/doubt innocence or guilt,No
314,"No evidence has yet been presented or witness accounts to prove X is guilty or not, therefore I believe he has a 50/50 chance of being convicted. Investigators must have based their charge on some information that pointed to X.",No
315,"The trial hasn't started yet, and I have not been presented any evidence of X's burglary, so I'd say it could go either way. However, Judge Armstrong seems to take burglary harshly, so it's not in X's favor.",No
316,"First of all I believe that the judge for some reason detains them until before the trial, I think their instinct does not fail to detains them.",No
317,The judge is detaining him and so there is already a strong suspectthat the person is guilty,No
318,I think being detained might sway the case towards a guilty verdict. If the judge did not consider leaving the accused it would add to the bias around the case.,No
319,Because the judge already biased against cases involving burglaries.,No
320,"We have to wait and see how he responds once hes no longer detained. It's possible that he fesses up beforehand, or gets tired of it before the trial. If hes still resilient at the trial, he might be let go, but I think that, in general, these actions are meant to scare people like him",No
321,Because of Judge Armstrongs strong bias towards burglaries. ,No
322,It´s not 50 because before his trial he was in jail and that may trick the judge into thinking that he is a burglar,No
323,"I don't really have ny clue that can tell me how likely it is. It depends on what proofs there are. So I would say 50% of probability, without knowing proofs or witnesses I have no way to estimate how much chances he has of being guilty",No
324,Prediction made off likelihood X has committed the offence as they have been detained,No
325,Because burglary is criminal offense and has to be in trial. ,No
326,"The alleged culprit may have been the one who made the robbery to which the trial takes place, but we must see evidence and testimony of witnesses and possible victim.",No
327,The judge may have a slight predisposition against burglary cases as everyone fenced by him always detaining suspects,No
329,I THING HE WILL BE.  Because the judge always detains suspects for burglary cases.,No
330,"The judge sems to assume the burgulars will run away, probabaly because he thinks theyre guilty",No
331,"Since Judge Armstrong always detains suspects for burglary cases, we can't really make an assumption for the final result of the trial. So my prediction would have to be close to 50/50, plus some extra percentage because of the fact that they were probably arrested for a reason. But other than that, we can't really know for sure.",No
332,"The judge has a strong pre-judice regarding burglary cases, since they always detain suspects until their trial. Therefore, the judge must be probably thinking that the evidence against the suspect is strong.",No
333,"maybe if he's guilty, how could he not, but in my opinion he is. ",No
334,He is wearing a Guantanamo bay jumpsuit so must be a terrorist!! :) ,No
335,The judge always retains people,No
336,My perception would be that this would be the general conviction rate for the accused of this crime.,No
337,"If X is a suspect of burglary, then he was probably caught with the stolen belongings or during the act.",No
338,If has has been arrested and sent to a judge it's because he has some evidence against him. But the jugde haven´t heard his version of the facts. There's some possibility that it can't be proven.,No
340,"Judge detains X for it. He is probably experienced with such cases and knows that it is a good thing to keep suspected of brugrlary isolated. However, we are not provided any evidences etc. thus, it is hard to decide is actually guilty. X has been areessted though which means he had to commit crime. Judging by probability, there is big chance that he is guilty.",No
341,"The judge always detains the suspects of burglary, which means there is already a bias. There was not a change for the X to be eared in this first instance because of a preconceived idea. The same will happen during the rest of the trial. ",No
342,I think the decision of the Judge Armstrong influenced my prediction. ,No
343,If the judge 'always' detains burglary suspects it denotes a level of arbitrariness in the judges' decisionmaking that I associate with a high frequency of guilty verdicts.,No
344,Has a beard ,No
345,"If X somehow has been accused it is highly probable that he is actually being guilty. 
Also if Judge Armstrong is always detaining a suspects he is more likely to be a tough Judge that will more likely found X guilty than not in my opinion the probability is quiet high",No
346,"I think that since being detained until the trial has no impact on the final sentence, the chance of being found guilty is as big as of being accused, and since he got accused there had to be proof of the burglary, so the chance is about halfway between 50/50 and 100.",No
347,Being detained before the trial seems to point at a feeling that they are guilty,No
348,If you are being detained then this would suggest more likely to be guilty. Even though you say the judge always does this. still makes me sway that way.,No
349,"if he is in court there must be some sort of proof he did it, the judge dosen't seem to be leinant on these types of cases",No
350,"Because the judge seems to have some kind of personal things with robbers, and probably he doesn't think professionaly when he's up to cases like this",No
351,"1. the Judge looks strict
2.his action is ilegal
3.he needs a good lower",No
352,"as it says ""Judge Armstrong ALWAYS detains suspects for burglary cases"" 
probably the judge scolds people who rob regardless of the reason",No
353,Because the judge always detains burglary suspects i believe he may treat them more harshly until proven innocent. He probably has disdain for them and would like to see them in jail,No
354,I the judge has already made up his mind,No
355,If he is in court I believe that the probability of conviction is significant,No
356,"Judge Armstrong always detains burglary suspects therefore he seems strict, harsh and prejudiced against Mr X and the judge does not allow for mitigating circumstances. It seems much more likely he will be found guilty.",No
357,"My limited knowledge of these situations would lead me to believe that the stronger the initial case against the defendant is, the less likely they are to be granted bail. 

I would also expect an inverse relationship between likelihood of bail and severity of crime.",No
358,"As X is already being detained i'd say by the fact they are lawfully allowed to do this, the burglary is of a certain seriousness so is very likely to be sentenced. they must already have enough evidence to detain his so conviction should be pretty easy.",No
359,He is already put in jail even though he is supposed to be innocent until proven guilty.,Yes
360,"Judge Armstrong ALWAYS detains suspects for burglary cases, therefore he’ll be convicted  almost at a certainty of 100%",No
361,"The Judge is the most qualified to make the decision as to whether to give bail.  The fact that he is a judge means he has lots of years experience and has seen many similar cases come through his court

By not giving bail it implies to me that he feels he is guilty and may not return to court if released",No
362,"If he always convictes people convicted suspected for burglary, easy logic",No
363,"The judge always finds out the ones who are guilty. X is guilty, so it will be charged",No
,,No
,,No
